Gender,Handedness,Roll,Flip,Nose,Penny,Rank,Credits,Height,Fear,State,Textbook,Textbook.last,Wage,Age,Date,Heart
Male,Right,Yes,Yes,Yes,No,FR,11,73,2,CA,20,0,20.00,60,Yes,82
Male,Right,Yes,Yes,Yes,Yes,SO,55,71,7,CA,100,100,21.00,24,Yes,84
Male,Right,Yes,Yes,No,Yes,FR,12,75,1,AZ,100,40,20.00,29,No,92
Male,Right,Yes,No,No,No,SO,30,72,7,UT,20,20,15.00,55,Yes,72
Male,Left,Yes,No,No,No,SO,54,72,2,WA,80,60,12.00,48,Yes,75
Male,Right,Yes,Yes,Yes,No,FR,0,71,2,UT,120,0,20.00,50,Yes,68
Male,Right,No,No,Yes,No,JR,60,70,6,MO,50,50,11.50,43,Yes,68
Male,Right,Yes,Yes,No,Yes,FR,18,68,3,AZ,30,70,11.00,57,Yes,96
Male,Right,Yes,No,No,Yes,JR,65,71,3,TX,50,60,12.00,59,No,70
Male,Right,Yes,No,Yes,Yes,SO,45,75,5,CA,30,0,10.00,52,No,91
Male,Right,Yes,Yes,No,No,SO,30,75,4,WA,200,100,10.60,55,Yes,73
Male,Right,Yes,Yes,No,No,SO,15,68,4,ID,15,210,11.85,50,No,85
Male,Right,Yes,Yes,No,No,FR,13,69,1,ID,0,0,10.00,49,Yes,82
Male,Right,Yes,No,No,Yes,FR,13,71,1,CA,0,0,19.00,51,No,70
Male,Right,Yes,Yes,Yes,No,JR,64,71,4,ID,0,120,20.25,44,No,70
Male,Right,No,No,No,No,JR,74,73,2,WA,0,5,20.00,50,Yes,102
Male,Right,Yes,No,No,No,FR,20,68,5,CA,120,0,20.00,45,Yes,87
Male,Right,Yes,No,No,No,SR,106,71,1,UT,0,40,12.00,50,Yes,61
Male,Right,No,Yes,No,No,JR,45,71,5,UT,80,150,14.18,57,No,52
Male,Right,Yes,Yes,No,Yes,FR,1,70,4,MT,40,0,0.00,57,No,55
Male,Left,Yes,Yes,No,No,SO,10,70,7,PA,0,0,13.00,56,Yes,92
Male,Right,Yes,Yes,Yes,No,SO,48,73,2,AK,204,128,10.00,58,Yes,52
Male,Right,Yes,No,Yes,No,SR,93,70,2,TX,50,100,16.00,45,No,70
Male,Right,Yes,Yes,No,Yes,SO,39,72,4,TX,0,0,11.65,27,Yes,72
Male,Left,Yes,Yes,No,No,SO,28,75,3,UT,,45,19.50,58,Yes,67
Male,Right,Yes,Yes,No,No,SO,35,72,3,ID,0,50,25.00,54,No,120
Male,Right,Yes,No,No,Yes,SO,30,70,2,UT,50,50,10.00,56,Yes,68
Male,Right,Yes,Yes,Yes,No,SO,30,76,4,HI,0,150,18.50,62,Yes,62
Male,Right,No,No,No,No,SO,40,72,2,ID,20,15,17.00,53,Yes,88
Male,Right,Yes,No,No,No,SO,40,70,5,CA,100,50,11.85,25,Yes,65
Male,Right,Yes,Yes,No,No,SO,32,73,5,Canada ,0,15,25.00,51,No,82
Male,Right,Yes,Yes,Yes,No,JR,34,71,6.5,OR,0,0,18.00,47,Yes,55
Male,Right,No,No,No,No,SO,36,70,7,CA,80,0,14.00,47,No,72
Male,Right,Yes,No,No,No,SO,57,73,3,ID,0,50,12.50,57,Yes,66
Male,Right,Yes,Yes,No,No,FR,13,73,5,NV,20,75,26.00,54,No,69
Male,Right,Yes,Yes,No,Yes,SO,51,70,5,UT,20,50,14.50,58,Yes,75
Male,Right,Yes,Yes,No,Yes,SO,40,71,3,UT,300,400,20.00,56,Yes,68
Male,Left,Yes,No,Yes,No,SO,47,64,3,ID,50,34,25.00,45,Yes,77
Male,Right,Yes,No,No,No,FR,18,70,2,CA,0,25,17.25,57,No,66
Male,Right,Yes,Yes,No,No,FR,20,71,2,OR,22,22,13.50,55,Yes,69
Male,Right,Yes,Yes,No,No,JR,62,70,3,UT,0,75,18.00,47,No,76
Male,Left,No,No,Yes,No,SR,,68,6,CA,0,0,12.00,62,Yes,12
Male,Right,Yes,No,No,Yes,JR,80,74,4,TX,30,0,13.00,57,Yes,53
Male,Right,Yes,Yes,Yes,No,SO,43,68.5,5,WA,120,50,14.50,64,Yes,88
Male,Right,No,No,No,No,SR,90,76,3,NV,64,50,16.00,50,No,63
Male,Right,Yes,Yes,No,No,SO,54,75,7,Canada,80,250,11.00,54,Yes,95
Male,Right,Yes,No,No,No,FR,0,60,2,ID,,,13.00,58,No,51
Female,Right,No,No,Yes,Yes,FR,27,64,2,CO,0.00,85.00,16.00,57,No,84
Male,Right,Yes,Yes,No,No,SO,44,71,4,ZIM,110.00,150.00,12.00,57,No,89
Female,Right,No,No,No,Yes,SO,30,64,6,UT,35.00,65.00,15.85,30,No,88
Female,Right,Yes,Yes,No,No,SO,43,63,3,WV,110.00,80.00,15.50,50,No,84
Female,Right,Yes,Yes,No,No,JR,61,68,7,ID,48.00,35.00,13.00,42,Yes,32
Female,Right,Yes,No,No,Yes,SO,36,64,5,ID,80.00,0.00,0.00,40,Yes,96
Female,Right,Yes,Yes,No,No,JR,51,72,2,ID,,,12.50,59,No,62
Male,Right,No,Yes,No,No,JR,87,67,5,Mozambique,0.00,120.00,14.00,57,No,
Male,Right,Yes,No,No,Yes,SR,93,67,1,UT,148.00,0.00,13.75,49,No,72
Female,Right,Yes,No,No,No,JR,40,59,5,BRA,100.00,100.00,14.00,65,No,100
Female,Left,No,Yes,No,No,JR,85,62,4,CA,150.00,100.00,22.00,57,No,25
Male,Right,Yes,No,Yes,No,SO,40,71,2,ID,35.00,,25.00,55,Yes,81
Male,Right,Yes,No,No,No,FR,24,66,3,ID,0.00,0.00,10.75,55,Yes,62
Female,Right,Yes,No,No,Yes,SO,40,64,3,UT,15.00,75.00,12.00,58,Yes,81
Male,Right,Yes,Yes,Yes,No,JR,90,72,1,MN,100.00,0.00,16.00,58,No,80
Female,Right,Yes,Yes,Yes,No,SO,35,67,5,AZ,135.00,0.00,13.00,53,No,60
Male,Right,Yes,Yes,No,No,FR,20,69,2,AZ,0.00,0.00,12.00,55,Yes,60
Male,Right,Yes,Yes,No,Yes,FR,14,73,4,CA,80.00,50.00,18.00,58,No,67
Female,Right,Yes,Yes,No,Yes,,,64,1,CA,0.00,,,58,Yes,102
Female,Right,Yes,Yes,No,Yes,JR,70,63,4,IL,120.00,115.00,0.00,68,No,78
Male,Right,Yes,Yes,No,No,SO,24,72,4,GA,180.00,80.00,22.00,52,No,68
Female,Left,Yes,No,No,Yes,JR,64,67,5,ID,120.00,30.00,11.00,55,Yes,75
Female,Right,Yes,Yes,No,Yes,FR,13,60,5,CA,230.00,60.00,11.00,58,Yes,80
Female,Right,No,No,No,No,SO,41,66,2,Canada,177.00,0.00,18.00,56,Yes,80
Male,Right,Yes,Yes,No,No,SO,36,70,3,ID,80.00,0.00,15.50,62,Yes,74
Female,Right,No,No,No,Yes,JR,73.47,58,5,WA,1.00,170.00,21.00,100,No,70
Male,Right,Yes,Yes,Yes,No,FR,13,64,2,AR,0.00,0.00,0.00,40,Yes,69
Female,Right,No,No,No,No,SR,100,,2,India,,,13.00,58,No,50
Male,Right,Yes,Yes,No,Yes,SO,34,72,3,AZ,59.00,107.00,17.00,59,No,86
Male,Right,Yes,Yes,No,Yes,SO,35,74,2,NE,0.00,56.00,11.00,57,Yes,72
Male,Right,Yes,No,No,No,FR,25,68,5,TX,40.00,70.00,16.00,58,Yes,79
Male,Right,Yes,Yes,No,Yes,FR,15,71,2,IN,60.00,50.00,13.00,55,Yes,68
